OLS_lD,OLS_α,GLS_lD,GLS_α
-2.5090668772530282,0.6337269226453532,-2.4765702468345423,0.679912872245423
-2.7981397783566955,0.7306650199257234,-2.8917814572722205,0.6144786082707713
-2.203166877838415,0.4524411678722995,-2.1502457598645854,0.5210507541856693
-2.1995110837883356,1.0877345693110723,-2.2428794510478696,1.0364109454637649
-3.095605653437964,0.7272625879648515,-3.132757733419758,0.6533668909581323
-3.2142871583388555,0.5371242277689134,-3.2732474682281043,0.4605432010388804
-2.4784133206303602,0.23196746560565984,-2.426148463290403,0.307041413720776
-3.471013901296958,0.20552426558309733,-3.3864531112386125,0.2709112069179787
-2.185069354033118,1.0549559739442635,-2.276579983689525,0.9529102160702263
-2.6708527728680433,0.7358616099620825,-2.7903429961032815,0.5831451366017176
-3.0746907216263644,0.2398855566231326,-3.102597778689881,0.19017728916972984
-3.8509541893780135,0.04171861678399935,-3.715532055371834,0.17870254382940015
-3.4826775554428107,0.37839809244673717,-3.483115331342978,0.35528259989997535
-3.418389602578177,0.37788404688373234,-3.3454507532136533,0.4223706817116261
-3.2905501511628312,0.11479935044697598,-3.2430451632910966,0.1588912623901754
-2.70117105002409,0.4377167547882692,-2.6429013396691103,0.49345765040536965
-1.7590377811398632,0.7330810261842,-1.707965867873479,0.8293906106817227
-3.015547090506514,0.5478090288375945,-3.0204943049875763,0.5205001510186441
-2.3204899020401086,0.7457796098758926,-2.4294589227451135,0.6058681002564147
-3.4031755057689796,0.08892135370244603,-3.3480287835871354,0.15013298611385353
-3.354891118875681,-0.0012645672375199979,-3.3039863351900456,0.049883287274408376
-3.2840511992074415,-0.020512692921077047,-3.2237961244289997,0.038656522718661976
-3.125157823945951,0.01021409974786991,-3.074003205765212,0.06314648197922564
-2.323537926303783,0.48093178746150933,-2.41769223573001,0.34514384414800964
-3.5872971404244396,0.154702605570197,-3.612902755314281,0.14703736640742324
-1.3285474466995693,1.159043372175951,-1.4093489085766828,1.09431505050762
-3.735575546338495,0.3505988743011663,-3.7384647786258793,0.3471843363803547
-3.845581088510423,0.24772694515881,-3.8068107228589216,0.3184085589495753
-4.026422636312091,0.2413645453707538,-4.0206358124865975,0.2614153092880694
-3.9300718880678502,0.07401290744135025,-3.867704425610983,0.1487485053962876
-3.706211374037089,0.14309840908391536,-3.703122515776046,0.15203890015903124
-3.6378243528460636,0.2720560203450475,-3.5858394867799834,0.3411372360850926
-4.400198990608445,-0.05360253052299058,-4.376970996485484,-0.035741299670085984
-2.4951415507685386,0.5492384505272607,-2.407755917856787,0.630977308923274
-3.904119026946363,0.16681523818763822,-3.8855339628957672,0.17712022576957823
-3.7836122726224364,0.2895714727390519,-3.7054550753785054,0.347388966214584
-3.974482645387017,0.08461639664410114,-3.9458470136032506,0.11376105635111465
-2.046197102142143,0.7391736799278483,-1.969302428529431,0.8365421390090345
-3.9796647342980584,-0.01123381495170861,-3.9668971707161664,-0.007079167464407604
-3.777615390825188,0.2710573413113835,-3.7904514396193125,0.25660770648014236
-4.398693107076715,0.043166394081495696,-4.342047422967586,0.09785317110768524
-3.828247590112758,0.13157365818494426,-3.8315450387646854,0.12397952638366254
-3.830324222390125,0.2099071056120323,-3.817230294775121,0.21802230937436393
-1.3446401362042355,1.0718279124657428,-1.3586776448358155,1.086973322993049
-4.347427267659267,0.021315693158278748,-4.305444781868087,0.07004889883628194
-2.024157356798291,0.9553054232805103,-2.0009488459472693,1.0048674024022581
-3.8077019025897414,0.19267803186368582,-3.8531478100126164,0.14174956608758615
-3.7450130664119197,0.13139147092475056,-3.749915547629041,0.13009255441567735
-4.033936659381705,0.013295941712947013,-3.9614538392036174,0.09542885771071934
-3.8928527784040803,0.09161106468250324,-3.8555776242556656,0.12411075230342966
-4.134251360713774,0.23551756619682607,-4.104772110979231,0.26700015301665236
-4.061836406090203,0.0010931427843772212,-4.0480413603646,0.021873334128444853
-2.7370932480062216,0.48802101706362677,-2.72157529406471,0.521671458982373
-2.615932856564804,0.673662140135507,-2.6489635884975713,0.6925947643623671
-3.198179323714653,0.2383178936287642,-3.211347354997131,0.22759272258210186
-3.9232093638348555,0.10637452228467836,-3.8101354216213537,0.22452487480003228
-3.8609641262383914,0.12262618953952753,-3.8759364210203837,0.1038941008650759
-3.97330559536411,-0.0021330319735000103,-3.9794033414735437,0.005788562947927886
-3.8565199244107973,0.04259695279433373,-3.8485147471616163,0.053493422779359014
-3.506692820950814,0.17554746336968563,-3.514209385407882,0.17573499361024805
-3.8352543985209415,0.04962833400741573,-3.844715691221316,0.045793768475236876
-3.873744947158583,0.16387895528939822,-3.866301173167875,0.177893930228821
-3.7980882065464456,0.04893829673353878,-3.79651753935386,0.04666818195307822
-3.601353193577431,0.3028044122165241,-3.6171029790835303,0.29908048574036394
-2.560906146802859,0.5992314000101899,-2.5157305717455962,0.6586756672231207
-4.002871864650535,0.14248126896391256,-4.005829820504374,0.14991932647028086
-3.1341302493866827,0.578244017550773,-3.2355504242775517,0.5001334953228691
-3.491051383442704,0.06469440682814209,-3.5084641445205063,0.046829964337766754
-3.968096964419246,0.026379264644013745,-3.9721611122287546,0.022096613891130313
-2.5635774930664983,0.5951291534972167,-2.5134252047623056,0.6469466699755068
-3.2032150980633993,0.41445352177548855,-3.225256173817075,0.4347271143776059
-2.751266543098785,0.5663303196325487,-2.699911074003617,0.6168439814159934
